



Room Number: ICT LAB
,9:00 TO 10:00,10:00 TO 11:00,11:00 TO 12:00,12:00 TO 13:00,13:00 TO 14:00,14:00 TO 15:00,15:00 TO 16:00,
Monday,(Graphics & Image Processing(Pr)#Mr. Hemantha Kulathilaka#1st year 2nd semester),(Graphics & Image Processing(Pr)#Mr. Hemantha Kulathilaka#1st year 2nd semester),(Graphics & Image Processing(Pr)#Mr. Hemantha Kulathilaka#1st year 2nd semester),BREAK,(Principles of Programming(Pr)#Mr. P.S.Palliyaguruge#1st year 1st semester),(Principles of Programming(Pr)#Mr. P.S.Palliyaguruge#1st year 1st semester),(Principles of Programming(Pr)#Mr. P.S.Palliyaguruge#1st year 1st semester),
Tuesday,FREE LECTURE,FREE LECTURE,FREE LECTURE,BREAK,FREE LECTURE,FREE LECTURE,FREE LECTURE,
Wednesday,FREE LECTURE,FREE LECTURE,FREE LECTURE,BREAK,FREE LECTURE,FREE LECTURE,FREE LECTURE,
Thursday,(Fundamentals of Computer#Ms. Tharushika#1st year 1st semester),(Fundamentals of Computer#Ms. Tharushika#1st year 1st semester),(Fundamentals of Computer#Ms. Tharushika#1st year 1st semester),BREAK,FREE LECTURE,FREE LECTURE,FREE LECTURE,
Friday,FREE LECTURE,FREE LECTURE,FREE LECTURE,BREAK,FREE LECTURE,FREE LECTURE,FREE LECTURE,
	



Room Number: test
,9:00 TO 10:00,10:00 TO 11:00,11:00 TO 12:00,12:00 TO 13:00,13:00 TO 14:00,14:00 TO 15:00,15:00 TO 16:00,
Monday,FREE LECTURE,FREE LECTURE,FREE LECTURE,BREAK,FREE LECTURE,FREE LECTURE,FREE LECTURE,
Tuesday,(Multimedia & Web Technology(pr)#Mr. Amarakoon#1st year 2nd semester),(Multimedia & Web Technology(pr)#Mr. Amarakoon#1st year 2nd semester),(Multimedia & Web Technology(pr)#Mr. Amarakoon#1st year 2nd semester),BREAK,FREE LECTURE,FREE LECTURE,FREE LECTURE,
Wednesday,FREE LECTURE,FREE LECTURE,FREE LECTURE,BREAK,FREE LECTURE,FREE LECTURE,FREE LECTURE,
Thursday,FREE LECTURE,FREE LECTURE,FREE LECTURE,BREAK,FREE LECTURE,FREE LECTURE,FREE LECTURE,
Friday,FREE LECTURE,FREE LECTURE,FREE LECTURE,BREAK,FREE LECTURE,FREE LECTURE,FREE LECTURE,
	



Room Number: CS LAB
,9:00 TO 10:00,10:00 TO 11:00,11:00 TO 12:00,12:00 TO 13:00,13:00 TO 14:00,14:00 TO 15:00,15:00 TO 16:00,
Monday,FREE LECTURE,FREE LECTURE,FREE LECTURE,BREAK,FREE LECTURE,FREE LECTURE,FREE LECTURE,
Tuesday,(Graphics & Image Processing(Pr)#Mr. Hemantha Kulathilaka#1st year 2nd semester),(Graphics & Image Processing(Pr)#Mr. Hemantha Kulathilaka#1st year 2nd semester),(Graphics & Image Processing(Pr)#Mr. Hemantha Kulathilaka#1st year 2nd semester),BREAK,(Graphics & Image Processing(Pr)#Mr. Hemantha Kulathilaka#1st year 2nd semester),(Graphics & Image Processing(Pr)#Mr. Hemantha Kulathilaka#1st year 2nd semester),(Graphics & Image Processing(Pr)#Mr. Hemantha Kulathilaka#1st year 2nd semester),
Wednesday,FREE LECTURE,FREE LECTURE,FREE LECTURE,BREAK,FREE LECTURE,FREE LECTURE,FREE LECTURE,
